module_id,area,orientation,string_id,string_pos,mppt,tracker,status,note
SD-S1-01,Schuppen Sued,Sued,SD-S1,1,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-02,Schuppen Sued,Sued,SD-S1,2,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-03,Schuppen Sued,Sued,SD-S1,3,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-04,Schuppen Sued,Sued,SD-S1,4,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-05,Schuppen Sued,Sued,SD-S1,5,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-06,Schuppen Sued,Sued,SD-S1,6,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-07,Schuppen Sued,Sued,SD-S1,7,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S1-08,Schuppen Sued,Sued,SD-S1,8,RS450-200-1,T1,planned,500W JA Solar 8S string
SD-S2-01,Schuppen Sued,Sued,SD-S2,1,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-02,Schuppen Sued,Sued,SD-S2,2,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-03,Schuppen Sued,Sued,SD-S2,3,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-04,Schuppen Sued,Sued,SD-S2,4,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-05,Schuppen Sued,Sued,SD-S2,5,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-06,Schuppen Sued,Sued,SD-S2,6,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-07,Schuppen Sued,Sued,SD-S2,7,RS450-200-1,T2,planned,500W JA Solar 8S string
SD-S2-08,Schuppen Sued,Sued,SD-S2,8,RS450-200-1,T2,planned,500W JA Solar 8S string
WO-E1-01,Wohnhaus Ost,Ost,WO-E1,1,RS450-200-1,T3,planned,500W JA Solar 8S string
WO-E1-02,Wohnhaus Ost,Ost,WO-E1,2,RS450-200-1,T3,planned,500W JA Solar 8S string
WO-E1-03,Wohnhaus Ost,Ost,WO-E1,3,RS450-200-1,T3,planned,500W JA Solar 8S string
