2026-07-11T00:25:20+0200,zaehlerstand,13531.4343,13531.4343,13531.4343,,-19801.2323,no error,1.6,3.2,4.9,3.4,1.5,3.7,3.2,4.3,3.8
1970-01-01T01:00:38+0100,zaehlerstand,44305.3433,,13531.43430,,0.0000,Rate too high - Read: 44305.3433 - Pre: 13531.4343 - Rate: 30773.9090,4.4,4.5,3.2,0.6,4.6,3.7,3.7,3.5,3.8
2026-07-11T00:38:12+0200,zaehlerstand,54447.4334,,13531.43430,,0.0000,Rate too high - Read: 54447.4334 - Pre: 13531.4343 - Rate: 40915.9991,4.9,3.9,4.6,4.5,6.9,3.9,2.9,3.5,4.4
2026-07-11T00:45:55+0200,zaehlerstand,47811.4324,,13531.43430,,0.0000,Rate too high - Read: 47811.4324 - Pre: 13531.4343 - Rate: 34279.9981,4.5,7.4,7.8,1.5,0.8,3.8,3.6,2.4,4.6
2026-07-11T00:51:24+0200,zaehlerstand,11111.4265,,13531.43430,,0.0000,Neg. Rate - Read:  - Raw: 11111.4265 - Pre: 13531.4343 ,0.8,1.2,1.1,1.0,0.8,4.1,2.7,6.4,5.2
2026-07-11T00:53:44+0200,zaehlerstand,41040.3306,,13531.43430,,0.0000,Rate too high - Read: 41040.3306 - Pre: 13531.4343 - Rate: 27508.8963,4.0,1.3,0.6,3.6,0.0,3.7,3.5,0.9,6.5
2026-07-11T00:55:11+0200,zaehlerstand,N2NNN.4434,,13531.43430,,0.0000,Neg. Rate - Read:  - Raw: N2NNN.4434 - Pre: 13531.4343 ,N,2,N,N,N,4.3,4.2,3.3,4.5
2026-07-11T00:55:34+0200,zaehlerstand,02NNN.4414,,13531.43430,,0.0000,Neg. Rate - Read:  - Raw: 02NNN.4414 - Pre: 13531.4343 ,0,2,N,N,N,4.3,4.3,1.8,4.7
2026-07-11T00:57:38+0200,zaehlerstand,NNNNN.4233,,13531.43430,,0.0000,,N,N,N,N,N,4.1,2.7,2.9,3.3
2026-07-11T00:59:15+0200,zaehlerstand,11111.3324,11111.3324,11111.3324,,-2420.1019,no error,0.8,1.2,1.1,1.0,0.6,3.7,3.2,2.1,4.9
2026-07-11T01:00:50+0200,zaehlerstand,N11N0.4335,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: N11N0.4335 - Pre: 11111.3324 ,N,1,1,N,0,4.2,3.2,3.2,6.0
2026-07-11T01:02:22+0200,zaehlerstand,92NNN.4327,,11111.33240,,0.0000,Rate too high - Read: 92111.4327 - Pre: 11111.3324 - Rate: 81000.1003,9,2,N,N,N,3.7,3.5,3.1,7.4
2026-07-11T01:04:01+0200,zaehlerstand,0NNNN.4325,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: 0NNNN.4325 - Pre: 11111.3324 ,0,N,N,N,N,3.9,3.1,2.8,5.1
2026-07-11T01:09:01+0200,zaehlerstand,0NNNN.4238,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: 0NNNN.4238 - Pre: 11111.3324 ,0,N,N,N,N,3.7,2.5,3.7,8.1
2026-07-11T01:14:01+0200,zaehlerstand,N4NNN.4323,,11111.33240,,0.0000,Rate too high - Read: 14111.4323 - Pre: 11111.3324 - Rate: 3000.0999,N,4,N,N,N,4.0,3.4,1.9,3.9
2026-07-11T01:19:01+0200,zaehlerstand,04N6N.4323,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: 04N6N.4323 - Pre: 11111.3324 ,0,4,N,6,N,4.3,3.1,2.4,4.0
2026-07-11T01:24:01+0200,zaehlerstand,02N6N.3333,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: 02N6N.3333 - Pre: 11111.3324 ,0,2,N,6,N,3.6,3.2,2.8,3.7
2026-07-11T01:29:01+0200,zaehlerstand,02NNN.4334,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: 02NNN.4334 - Pre: 11111.3324 ,0,2,N,N,N,3.8,3.3,3.3,4.7
2026-07-11T01:34:01+0200,zaehlerstand,02NN7.4325,,11111.33240,,0.0000,Neg. Rate - Read:  - Raw: 02NN7.4325 - Pre: 11111.3324 ,0,2,N,N,7,3.8,3.1,2.9,5.1
2026-07-11T01:39:01+0200,zaehlerstand,NNN1N.4336,,11111.33240,,0.0000,Rate too high - Read: 11111.4336 - Pre: 11111.3324 - Rate: 0.1012,N,N,N,1,N,4.0,3.2,3.3,6.4
2026-07-11T01:44:01+0200,zaehlerstand,24NNN.4335,,11111.33240,,0.0000,Rate too high - Read: 24111.4335 - Pre: 11111.3324 - Rate: 13000.1011,2,4,N,N,N,4.0,2.9,3.0,6.0
2026-07-11T01:49:01+0200,zaehlerstand,41NNN.4303,,11111.33240,,0.0000,Rate too high - Read: 41111.4303 - Pre: 11111.3324 - Rate: 30000.0979,4,1,N,N,N,3.7,3.0,0.6,3.9
